surface,length
asphalt,5796.7017396093925
cobblestone,49.541757600065054
compacted,261.1151365150741
concrete,3.3369290051170943
dirt,1071.2271335190312
dirt/sand,227.54806371670222
earth,13.589700180429706
fine_gravel,0.6562077560114605
grass,2.442734434746908
gravel,8641.888595245986
ground,2246.746359433542
mountain,3.5059382694354673
mud,114.33427385053125
paved,1570.0484402166298
paving_stones,35.35515466443021
pebblestone,16.59347886695999
salt,31.39757026097747
sand,808.1156621845058
sett,0.9938947736323528
stone,0.05972341375018003
unfinished,0.19524151216848254
unkown,3.626390972809516
unpaved,10691.260170189633
unpaved;dirt,39.31752108306805
unpaved_path,0.6236367615718161
unpavedw,0.6054170390033644
wood,0.06402774112339621
