,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
residential,1.504,1.504,1.504,1.504,1.504,1.504,1.504,1.504,1.504,1.504,78.733,75.863,119.726,96.827,129.568,143.746,143.757,144.733,145.233,145.667,145.82,146.125,146.212,146.96,166.801,167.213,169.263,170.131,185.553,179.538,179.582,179.801,180.637,180.373,183.029,184.297,323.309,323.612
road,153.514,153.514,153.514,153.514,153.514,153.514,153.514,153.514,142.722,142.722,129.684,129.684,129.684,130.878,170.719,173.615,173.615,173.615,173.615,173.615,173.615,173.615,173.615,165.421,165.495,165.495,165.495,165.495,165.495,165.495,165.495,165.495,165.421,165.421,165.421,165.421,165.421,165.421
secondary,2.009,2.009,2.009,2.009,2.009,2.009,2.009,2.009,57.179,57.179,,,,0.44,,19.914,19.914,19.914,20.867,20.867,20.867,20.867,20.867,13.464,87.876,87.877,87.877,87.993,88.83,88.83,88.868,88.868,90.38,91.556,91.761,91.761,91.633,91.695
tertiary,4.576,4.576,4.576,4.576,4.576,7.812,7.812,7.812,23.757,23.757,139.166,144.912,176.147,96.346,150.718,151.379,151.38,151.374,151.616,151.638,151.806,151.885,152.477,151.027,76.055,76.128,76.128,76.134,77.443,77.443,77.446,77.446,77.286,78.512,78.528,78.528,143.48,143.48
unclassified,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,39.411,39.411,43.872,50.878,102.286,108.194,108.443,108.701,107.748,107.78,107.786,107.786,117.624,131.191,124.064,125.943,125.943,125.943,130.363,137.912,138.601,138.601,143.315,144.892,146.108,149.186,193.464,194.365
track,,,,6.764,6.764,6.764,6.764,6.764,209.05,209.05,129.03,129.558,135.698,116.553,364.145,384.8,387.406,387.457,395.288,397.66,399.961,408.928,445.174,453.203,461.712,473.224,477.35,478.595,468.388,486.272,487.617,487.617,493.022,501.961,501.881,522.464,325.883,325.892
footway,,,,,,,,,,,,,0.041,0.212,5.585,8.487,8.487,8.782,9.167,9.167,9.345,9.97,9.97,9.97,10.504,10.504,10.504,10.673,10.373,12.26,12.404,12.404,12.404,12.404,12.404,12.404,11.405,11.405
service,,,,,,,,,,,,,5.408,6.635,14.739,15.288,15.288,15.472,15.567,18.123,28.143,44.604,45.79,48.588,42.002,43.941,44.178,44.178,43.168,43.903,43.941,43.941,43.965,43.892,44.453,44.453,17.419,17.419
living_street,,,,,,,,,,,,,,14.517,26.582,26.721,26.852,26.856,26.669,26.86,17.299,4.524,3.891,3.51,2.501,2.2,1.887,1.887,1.887,1.887,1.887,1.887,1.887,1.887,1.887,1.887,1.462,1.462
primary,,,,,,,,,,,,,,116.252,173.965,173.965,173.965,174.567,174.581,175.184,177.134,177.134,177.134,181.468,182.511,182.754,182.754,182.754,209.432,210.252,210.252,210.252,210.252,218.501,218.501,218.853,218.047,218.707
secondary_link,,,,,,,,,,,,,,0.876,,,,,0.171,0.171,0.171,0.171,0.171,,0.133,0.133,0.133,0.133,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.092,0.092
tertiary_link,,,,,,,,,,,,,,15.479,2.806,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,1.527,1.317,1.317,1.317,1.317,1.317,1.317,1.317,1.317,1.317,1.317,1.317,1.317,0.707,0.707
path,,,,,,,,,,,,,,,1.355,1.355,1.355,2.187,3.182,3.182,3.182,3.35,3.35,3.596,4.029,7.248,7.248,7.248,10.097,16.104,16.545,16.545,17.235,23.536,24.022,24.022,21.32,21.32
pedestrian,,,,,,,,,,,,,,,0.377,0.377,0.377,0.377,0.377,0.377,0.575,0.575,0.575,1.118,1.207,1.207,1.207,1.207,1.207,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211
steps,,,,,,,,,,,,,,,0.36,0.36,0.36,0.36,0.348,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363
primary_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.579,0.579
